Joint,Movement,Category,ID,Title,Description,Tools,Hold Seconds,Sets,Reps,YoutubeID
Elbow,pronation,activate,el_act_pro1,전완 회내근 강화,밴드를 잡고 팔꿈치를 옆구리에 고정한 채 손바닥이 아래를 향하도록 회전합니다.,탄성 밴드,,3.0,15.0,
Hip,flexion,inhibit,hp_inh_flex1,대둔근 SMR,폼롤러를 둔부 아래에 놓고 체중을 실어 대둔근을 롤링합니다.,폼롤러,40.0,,,
Hip,flexion,inhibit,hp_inh_flex2,햄스트링 SMR,폼롤러를 허벅지 뒤쪽에 대고 허벅지 전체를 롤링합니다.,폼롤러,40.0,,,
Hip,flexion,lengthen,hp_len_flex1,누운 자세 대둔근 스트레칭,누운자세에서 무릎이 가슴에 닿도록 감싸 30초 늘립니다.,,30.0,2.0,,
Hip,flexion,lengthen,hp_len_flex2,누운 자세 햄스트링 스트레칭,누운 상태에서 한쪽 무릎을 펴고 수건을 발에 걸어 다리를 30초 들어올립니다.,,30.0,2.0,,
Hip,flexion,activate,hp_act_flex1,장요근 활성화 (밴드),선 자세에서 밴드를 발목에 감고 무릎을 가슴 높이까지 들어올립니다.,탄성 밴드,,3.0,12.0,
Hip,extension,inhibit,hp_inh_ext1,장요근 SMR,마사지볼에 엎드려 골반 앞쪽(서혜부 위)을 30-40초 압박합니다. -,마사지볼,40.0,,,
Hip,extension,inhibit,hp_inh_ext2,대퇴직근 SMR,폼롤러를 허벅지 앞쪽에 대고 엎드려 롤링합니다.,폼롤러,40.0,,,
Hip,extension,lengthen,hp_len_ext1,런지 자세 장요근 스트레칭,런지 자세에서 앞 무릎을 90°로 굽히고 골반을 앞으로 밀어 30초 유지합니다.,,30.0,2.0,,
Hip,extension,lengthen,hp_len_ext2,토마스 테스트 스트레칭,테이블 끝에 누워 한 무릎을 가슴으로 당기고 다른 다리는 자연스럽게 내려뜨립니다.,,30.0,2.0,,
Hip,extension,activate,hp_act_ext1,힙 브릿지,누운 자세에서 발바닥으로 바닥을 밀어 둔부를 최대한 높이 들어올립니다.,,,3.0,15.0,
Hip,extension,activate,hp_act_ext2,루마니안 데드리프트 (봉),밴드를 발로 밟고 상체를 앞으로 기울였다 세우며 대둔근·햄스트링을 활성화합니다.,봉,,3.0,12.0,
Hip,abduction,inhibit,hp_inh_abd1,내전근 SMR,폼롤러를 허벅지 안쪽에 대고 엎드려 내전근을 롤링합니다.,폼롤러,40.0,,,
Hip,abduction,lengthen,hp_len_abd1,내전근 스트레칭 (나비 자세),"앉아서 발바닥을 마주 붙이고 무릎을 바닥 쪽으로 내린다음, 몸통을 앞으로 숙여 30초 유지합니다.",,30.0,2.0,,
Hip,abduction,activate,hp_act_abd1,크램쉘 (Clamshell),옆으로 누워 무릎을 굽히고 발뒤꿈치를 붙인 채 위쪽 무릎을 벌립니다.,,,3.0,15.0,
Hip,adduction,inhibit,hp_inh_add1,TFL SMR,폼롤러를 엉덩이 옆쪽에 대고 It-band 부위를 롤링합니다.,폼롤러,40.0,,,
Hip,adduction,lengthen,hp_len_add1,TFL 스트레칭,벽에 서서 한쪽 다리를 반대편 앞으로 교차하고 측면으로 기울여 30초 유지합니다.,,30.0,2.0,,
Hip,adduction,activate,hp_act_add1,내전근 수축 (등척성),등을 대고 누운 자세에서 무릎 사이에 폼롤러를 끼우고 5초 이상 꽉 쥡니다.,폼롤러,5.0,3.0,12.0,
Hip,internal_rotation,inhibit,hp_inh_ir1,이상근 SMR,마사지 볼을 둔부 깊숙이(이상근 위치)에 대고 다리를 4자 모양으로 얹어 30-60초 압박합니다.,마사지 볼,50.0,,,
Hip,internal_rotation,lengthen,hp_len_ir1,누운자세 이상근 스트레칭,누운자세에서 한 발목을 반대편 무릎위에 올리고 허벅지 뒷부분을 잡아 가슴쪽으로 당겨 30초 유지합니다.,,30.0,2.0,,
Hip,internal_rotation,activate,hp_act_ir1,내회전 밴드 강화,밴드를 발목에 감고 의자에 앉은 자세에서 발을 천장 방향으로 회전합니다.,탄성 밴드,,3.0,12.0,
Hip,external_rotation,inhibit,hp_inh_er1,내전근 SMR,폼롤러를 허벅지 안쪽에 대고 엎드려 내전근을 롤링합니다.,폼롤러,40.0,,,
Hip,external_rotation,lengthen,hp_len_er1,누운자세 4자 스트레칭,누운상태에서 한쪽 무릎을 구부리고 구부린쪽 무릎을 바닥에 닿게해 30초 스트레칭합니다.,,30.0,2.0,,
Hip,external_rotation,activate,hp_act_er1,외회전 밴드 강화 (클램쉘 응용),밴드를 무릎 위에 감고 클램쉘 동작으로 외회전을 강화합니다.,탄성 밴드,,3.0,15.0,
Knee,flexion,inhibit,kn_inh_flex1,대퇴사두근 SMR,폼롤러를 허벅지 앞쪽에 대고 엎드려 대퇴 전면 전체를 롤링합니다.,폼롤러,40.0,,,
Knee,flexion,inhibit,kn_inh_flex2,IT밴드 SMR,폼롤러를 허벅지 외측에 대고 옆으로 누워 무릎 위까지 롤링합니다.,폼롤러,40.0,,,
Knee,flexion,lengthen,kn_len_flex1,대퇴사두근 스트레칭,서서 한쪽 발목을 잡고 엉덩이 쪽으로 부드럽게 당겨 30초 유지합니다.,,30.0,2.0,,
Knee,flexion,lengthen,kn_len_flex2,대퇴직근 스트레칭 (런지),런지 자세에서 앞발에 무게를 실어 뒷다리 앞쪽을 30초 늘립니다.,,30.0,2.0,,
Knee,flexion,activate,kn_act_flex1,햄스트링 컬 (밴드),엎드린 자세에서 밴드를 발목에 감고 무릎을 천천히 굽혀 햄스트링 수축합니다.,탄성 밴드,,3.0,15.0,
Knee,extension,inhibit,kn_inh_ext1,햄스트링 SMR,폼롤러를 허벅지 뒤쪽에 대고 앉아  전체를 햄스트링 전체를 롤링합니다.,폼롤러,40.0,,,
Knee,extension,inhibit,kn_inh_ext2,비복근 SMR,폼롤러를 종아리 아래에 대고 종아리~무릎 뒤까지 롤링합니다.,폼롤러,40.0,,,
Knee,extension,lengthen,kn_len_ext1,햄스트링 스트레칭,누운 자세에서 수건을 발에 걸고 무릎을 가능한 펴며 30초 유지합니다.,,30.0,2.0,,
Knee,extension,lengthen,kn_len_ext2,비복근 스트레칭,벽을 짚고 한쪽 발을 뒤로 빼 발뒤꿈치를 바닥에 붙인 채 30초 유지합니다.,,30.0,2.0,,
Knee,extension,activate,kn_act_ext1,의자 무릎 신전 (밴드),의자에 앉아 한쪽 다리를 천천히 펴고 3초 버틴 후 내립니다.,탄성 밴드,3.0,3.0,15.0,
Knee,extension,activate,kn_act_ext2,미니 스쿼트 ,발 너비로 서서 무릎을 30° 굽혔다 펴줍니다.,,15.0,3.0,,
Shoulder,flexion,inhibit,sh_inh_flex1,대흉근 SMR,마사지 볼을 대흉근(앞쪽 가슴부위)에 대고 30-60초 지그시 압박합니다.,마사지 볼,40.0,,,Xh1zz52efS0
Shoulder,flexion,inhibit,sh_inh_flex2,광배근 SMR,마사지 볼로 광배근(등 뒤가쪽 부위)에 천천히 롤링합니다.,마사지 볼,30.0,,,etwhCZgKK6I
Shoulder,flexion,lengthen,sh_len_flex1,대흉근 문틀 스트레칭,문틀에 팔꿈치를 90°로 얹고 앞으로 천천히 기울여 가슴 앞쪽을 늘입니다. 30초 유지.,,30.0,2.0,,
Shoulder,flexion,lengthen,sh_len_flex2,흉추 신전 스트레칭,폼롤러를 등 어깨뼈 높이에 놓고 양손을 뒤통수에 받친 채 천천히 뒤로 누워 흉추를 신전합니다.,폼롤러,30.0,,,
Shoulder,flexion,activate,sh_act_flex1,어깨 굽힘 운동 (밴드),선 자세에서 밴드를 손에 묶고 팔꿈치를 편상태에서 팔을 귀옆까지 올립니다. .,,,3.0,12.0,
Shoulder,flexion,activate,sh_act_flex2,전거근 활성화 (Push-Up Plus),팔굽혀펴기 자세에서 상체를 완전히 올린 뒤 견갑골을 앞으로 더 밀어냅니다.,,,3.0,10.0,
Shoulder,extension,inhibit,sh_inh_ext1,전방삼각근 SMR,마사지볼을 어깨 앞쪽부위에 대고 롤링합니다.,마사지볼,40.0,,,
Shoulder,extension,lengthen,sh_len_ext1,전방삼각근 스트레칭,문틀이나 기둥을 한 손으로 잡고 반대쪽으로 체중을 실어 옆구리~등을 늘입니다.,,30.0,2.0,,
Shoulder,extension,activate,sh_act_ext1,광배근 밴드 신전,문고리에 밴드를 걸고 팔꿈치를 편상태에서 팔을 뒤로 보냅니다,탄성 밴드,,3.0,12.0,
Shoulder,abduction,inhibit,sh_inh_abd1,대흉근 SMR,마사지 볼을 대흉근(앞쪽 가슴부위)에 대고 30-60초 지그시 압박합니다.,마사지 볼,40.0,,,
Shoulder,abduction,inhibit,sh_inh_abd2,광배근 SMR,마사지 볼로 광배근(등 뒤가쪽 부위)에 천천히 롤링합니다.,마사지 볼,30.0,,,
Shoulder,abduction,lengthen,sh_len_abd1,대흉근 문틀 스트레칭,문틀에 팔꿈치를 90°로 얹고 앞으로 천천히 기울여 가슴 앞쪽을 늘입니다. 30초 유지.,,30.0,2.0,,
Shoulder,abduction,lengthen,sh_len_abd2,손가락 사다리,코너 벽에 옆으로 서서 손가락으로 벽을 탑니다.,,30.0,2.0,,
Shoulder,abduction,activate,sh_act_abd1,Y자 하부승모근 활성화,엎드린 자세에서 양팔을 Y자로 들어 천장 방향으로 올립니다. 2초 유지 후 내립니다.,,,3.0,12.0,
Shoulder,adduction,inhibit,sh_inh_add1,삼각근 SMR,반대 손이나 마사지 볼로 삼각근 전체를 부드럽게 압박합니다.,마사지 볼,30.0,,,
Shoulder,adduction,lengthen,sh_len_add1,측면 삼각근 스트레칭,한팔을 가슴 앞으로 뻗고 반대 팔로 30초 당겨줍니다.,,30.0,2.0,,
Shoulder,adduction,activate,sh_act_add1,광배근 밴드 풀다운,밴드를 머리 위에 고정하고 팔꿈치를 옆구리로 당깁니다.,탄성 밴드,,3.0,12.0,
Shoulder,internal_rotation,inhibit,sh_inh_ir1,극하근 SMR,마사지 볼을 어깨뼈 후면(극하와)에 대고 압박합니다.,마사지 볼,40.0,,,
Shoulder,internal_rotation,lengthen,sh_len_ir1,후방 관절낭 스트레칭 (Cross-Body),한팔을 가슴 앞으로 뻗고 반대 손으로 팔꿈치를 잡아 몸 쪽으로 30초 당깁니다.,,30.0,2.0,,
Shoulder,internal_rotation,activate,sh_act_ir1,밴드 내회전,밴드를 고정하고 팔꿈치 90° 상태에서 안쪽으로 천천히 당깁니다.,탄성 밴드,,3.0,15.0,
Shoulder,external_rotation,inhibit,sh_inh_er1,견갑하근 SMR,마사지 볼로 겨드랑이 앞벽(견갑하근)을 부드럽게 압박합니다.,마사지 볼,30.0,,,
Shoulder,external_rotation,lengthen,sh_len_er1,외회전 스트레칭(봉),봉을 이용해 한쪽손을 옆구리에 붙이고 반대쪽손으로 한쪽손을 밀어 몸 바깥쪽으로 돌아가게 만듭니다.,봉,30.0,2.0,,
Shoulder,external_rotation,activate,sh_act_er1,밴드 외회전,팔꿈치를 옆구리에 고정하고 밴드를 바깥쪽으로 천천히 당깁니다.,탄성 밴드,,3.0,15.0,
Waist,lumbar_lordosis,inhibit,ws_inh_lord1,척추기립근 SMR,폼롤러를 허리 뒤쪽에 대고 천천히 하체 힘으로 롤링하며 척추기립근의 긴장을 풀어줍니다.,폼롤러,40.0,,,
Waist,lumbar_lordosis,inhibit,ws_inh_lord2,장요근 마사지 볼 압박,엎드린 상태에서 골반 앞쪽 깊숙한 부위(장요근)에 마사지 볼을 대고 30-60초간 압박합니다.,마사지 볼,40.0,,,
Waist,lumbar_lordosis,lengthen,ws_len_lord1,장요근 런지 스트레칭,한쪽 무릎을 바닥에 대고 반대쪽 다리를 앞으로 굽혀 골반 앞쪽을 늘려줍니다.,,30.0,2.0,,
Waist,lumbar_lordosis,lengthen,ws_len_lord2,고양이-소 자세 (허리 이완),네발기기 자세에서 등을 둥글게 말았다가 천천히 펴주며 허리의 가동성을 확보합니다.,,,2.0,10.0,
Waist,lumbar_lordosis,activate,ws_act_lord1,데드버그 (복부 활성화),누워서 팔다리를 번갈아 내리며 허리가 바닥에서 뜨지 않게 조절하여 심부 복근을 활성화합니다.,,,3.0,12.0,
Waist,lumbar_lordosis,activate,ws_act_lord2,브릿지 (둔근 활성화),누워 무릎을 굽힌 채 엉덩이를 들어 올려 둔근의 힘을 인지합니다.,,,3.0,15.0,
Waist,pelvic_tilt,inhibit,ws_inh_tilt1,대퇴근막장근 SMR,폼롤러를 고관절 측면에 대고 옆으로 누워 대퇴근막장근 부위를 굴려줍니다.,폼롤러,30.0,,,
Waist,pelvic_tilt,lengthen,ws_len_tilt1,이상근 스트레칭,앉거나 누운 자세에서 한쪽 발을 반대쪽 무릎 위에 올리고 가슴 쪽으로 당겨줍니다.,,30.0,2.0,,
Waist,pelvic_tilt,activate,ws_act_tilt1,클램쉘 (중둔근 활성화),옆으로 누워 무릎을 굽히고 조개껍데기처럼 위쪽 다리를 벌려 중둔근을 강화합니다.,,,3.0,15.0,
Wrist,flexion,inhibit,wr_inh_flex1,손목 신전근 SMR,마사지 볼로 전완 뒤쪽 신전근 부위를 30초 압박합니다.,마사지 볼,30.0,,,
Wrist,flexion,lengthen,wr_len_flex1,손목 신전근 스트레칭,팔을 앞으로 뻗고 손바닥이 아래를 향하게 한 뒤 반대 손으로 손가락을 몸 쪽으로 30초 당깁니다.,,30.0,2.0,,
Wrist,flexion,activate,wr_act_flex1,손목 굴곡 강화 (밴드),밴드를 잡고 손목을 손바닥 방향으로 천천히 굽혔다 폅니다.,탄성 밴드,,3.0,15.0,
Wrist,extension,inhibit,wr_inh_ext1,손목 굴곡근 SMR,마사지 볼로 전완 앞쪽 굴곡근 부위를 압박합니다.,마사지 볼,30.0,,,
Wrist,extension,lengthen,wr_len_ext1,손목 굴곡근 스트레칭,팔을 앞으로 뻗고 손등이 위를 향하게 한 뒤 반대 손으로 손가락을 몸 쪽으로 30초 당깁니다.,,30.0,2.0,,
Wrist,extension,activate,wr_act_ext1,손목 신전 강화 (밴드),밴드를 잡고 손목을 손등 방향으로 천천히 젖혔다 폅니다.,탄성 밴드,,3.0,15.0,
Wrist,radial_deviation,inhibit,wr_inh_rad1,척측 근육 SMR,마사지 볼로 전완 척측(새끼손가락 쪽) 근육을 압박합니다.,마사지 볼,30.0,,,
Wrist,radial_deviation,lengthen,wr_len_rad1,요측 편위 스트레칭,손목을 엄지 방향으로 부드럽게 기울여 30초 유지합니다.,,30.0,2.0,,
Wrist,radial_deviation,activate,wr_act_rad1,요측 편위 강화,가벼운 아령을 기립자세에서 잡고 손목을 엄지 방향으로 올립니다.,아령,,3.0,12.0,
Wrist,ulnar_deviation,inhibit,wr_inh_uln1,요측 근육 SMR,마사지 볼로 전완 요측(엄지손가락 쪽) 근육을 압박합니다.,마사지 볼,30.0,,,
Wrist,ulnar_deviation,lengthen,wr_len_uln1,척측 편위 스트레칭,손목을 새끼 손가락 방향으로 부드럽게 기울여 30초 유지합니다.,,30.0,2.0,,
Wrist,ulnar_deviation,activate,wr_act_uln1,척측 편위 강화,가벼운 아령을 기립자세에서 잡고 손목을 소지 방향으로 올립니다.,아령,,3.0,12.0,
